locationLabel;regionLabel;geoloc
Rybné;okres Jihlava;Point(15.736324527 49.422896205)
Podolí;okres Žďár nad Sázavou;Point(16.080481179 49.484298677)
Panské Dubenky;okres Jihlava;Point(15.26583571 49.219584636)
Pavlov;okres Jihlava;Point(15.557128646 49.242842176)
Veselí nad Moravou;okres Hodonín;Point(17.376482379 48.953642955)
Červená Lhota;okres Třebíč;Point(15.806127639 49.284508338)
Račice;okres Žďár nad Sázavou;Point(16.139282819 49.497311006)
Loučky;okres Semily;Point(15.218585243 50.617614477)
Radešín;okres Žďár nad Sázavou;Point(16.087774255 49.470299946)
Čáslavice;okres Třebíč;Point(15.772419021 49.152261657)
Soběslavice;okres Liberec;Point(15.034208283 50.604959119)
Kyjov;správní obvod obce s rozšířenou působností Kyjov;Point(17.122531686 49.010193088)
Březník;okres Třebíč;Point(16.194115199 49.172091291)
Pikárec;okres Žďár nad Sázavou;Point(16.122416725 49.432443249)
Sejřek;okres Žďár nad Sázavou;Point(16.30928641 49.43612886)
Bochovice;okres Třebíč;Point(15.896344421 49.320866888)
Polnička;okres Žďár nad Sázavou;Point(15.916374835 49.607537493)
Sirákov;okres Žďár nad Sázavou;Point(15.81824356 49.504851037)
Poděšín;okres Žďár nad Sázavou;Point(15.800923879 49.507712848)
Číchov;okres Třebíč;Point(15.76211882 49.284664708)
Častohostice;okres Třebíč;Point(15.819208147 49.014427864)
Sazomín;okres Žďár nad Sázavou;Point(15.981005891 49.508812022)
Vídeň;okres Žďár nad Sázavou;Point(16.03165392 49.392166229)
Ždánice;okres Žďár nad Sázavou;Point(16.262121968 49.547494414)
Zvěrkovice;okres Třebíč;Point(15.863174534 49.025574552)
Čikov;okres Třebíč;Point(16.140928365 49.269542494)
Zahrádka;okres Třebíč;Point(16.09833159 49.24446052)
Čechočovice;okres Třebíč;Point(15.7936176 49.202910823)
Biskupice-Pulkov;okres Třebíč;Point(16.011033006 49.037707852)
Sviny;okres Žďár nad Sázavou;Point(16.085034123 49.364227423)
Rohozná;okres Jihlava;Point(15.399193553 49.350269411)
Radňovice;okres Žďár nad Sázavou;Point(16.034897225 49.564049198)
Strachujov;okres Žďár nad Sázavou;Point(16.226795668 49.613139021)
Sedlnice;okres Nový Jičín;Point(18.08693756 49.657691573)
Benetice;okres Třebíč;Point(15.867355943 49.297681528)
Zborovy;okres Klatovy;Point(13.5156903 49.381189849)
Věcov;okres Žďár nad Sázavou;Point(16.169982841 49.616177424)
Zabrušany;okres Teplice;Point(13.787584541 50.60504035)
Zárubice;okres Třebíč;Point(15.981446327 49.124268668)
Bransouze;okres Třebíč;Point(15.751974055 49.302600288)
Světnov;okres Žďár nad Sázavou;Point(15.955254121 49.6205719)
Zubří;okres Žďár nad Sázavou;Point(16.123724394 49.571146131)
Radkov;okres Žďár nad Sázavou;Point(16.158270167 49.423116033)
Číměř;okres Třebíč;Point(15.998470719 49.200184233)
Bačkovice;okres Třebíč;Point(15.58916268 48.967601241)
Velká Losenice;okres Žďár nad Sázavou;Point(15.836769202 49.580748249)
Bohušice;okres Třebíč;Point(15.852134887 49.08515116)
Stachy;okres Prachatice;Point(13.666602184 49.101889837)
Bačice;okres Třebíč;Point(16.027495685 49.083918996)
Ořechov;okres Jihlava;Point(15.53198307 49.199977858)
Cidlina;okres Třebíč;Point(15.735550107 49.128241345)
Sklené;okres Žďár nad Sázavou;Point(16.006905801 49.609435745)
Sedlatice;okres Jihlava;Point(15.613412156 49.192345929)
Břežany;okres Klatovy;Point(13.617385141 49.348853184)
Skorotice;okres Žďár nad Sázavou;Point(16.35917366 49.457353157)
Babice;okres Třebíč;Point(15.768866682 49.124280445)
Stránecká Zhoř;okres Žďár nad Sázavou;Point(15.927406964 49.380063899)
Plandry;okres Jihlava;Point(15.538297348 49.420040403)
Blatnice;okres Třebíč;Point(15.871339249 49.07017884)
Radkov;okres Jihlava;Point(15.475250095 49.145258536)
Zašovice;okres Třebíč;Point(15.725698815 49.258283832)
Kyjov;okres Hodonín;Point(17.122531686 49.010193088)
Štěpánov nad Svratkou;okres Žďár nad Sázavou;Point(16.339152727 49.504620737)
Věžná;okres Žďár nad Sázavou;Point(16.271247733 49.46076042)
Řásná;okres Jihlava;Point(15.391299827 49.221079743)
Kamenný Most;okres Kladno;Point(14.205816447 50.241481756)
Chotyně;okres Liberec;Point(14.869041804 50.836280216)
Tašov;okres Ústí nad Labem;Point(14.135896013 50.614600574)
Jívová;okres Olomouc;Point(17.39460993 49.709178947)
Březí;okres Strakonice;Point(13.797516663 49.507858645)
Červené Pečky;okres Kolín;Point(15.208623634 49.978274448)
Hradčany;okres Nymburk;Point(15.269931733 50.158037665)
Poběžovice u Přelouče;okres Pardubice;Point(15.581948485 49.991051279)
Mikulov;okres Břeclav;Point(16.637789181 48.805586996)
Pozlovice;okres Zlín;Point(17.769261493 49.129213474)
Jarov;okres Plzeň-sever;Point(13.474338149 49.872560143)
Velké Bílovice;okres Břeclav;Point(16.89226935 48.849310717)
Kunice;správní obvod obce s rozšířenou působností Boskovice;Point(16.490760425 49.478855263)
Damnice;okres Znojmo;Point(16.37410107 48.920346003)
Ludíkov;správní obvod obce s rozšířenou působností Boskovice;Point(16.731811247 49.455417221)
Hnanice;správní obvod obce s rozšířenou působností Znojmo;Point(15.986674957 48.798529978)
Mnichov;okres Strakonice;Point(13.83010012 49.302172226)
